"ID","Lat","Lon"
1,47.217,-123.867
2,47.217,-123.867
3,47.217,-123.867
4,47.217,-123.867
5,47.217,-123.867
6,47.217,-123.867
7,50.3417,-119.6333
8,50.3417,-119.6333
9,50.3417,-119.6333
10,50.3417,-119.6333
11,50.3417,-119.6333
12,50.3417,-119.6333
13,50.3417,-119.6333
14,50.3417,-119.6333
15,50.3417,-119.6333
16,50.3417,-119.6333
17,50.3417,-119.6333
18,50.3417,-119.6333
19,50.3417,-119.6333
20,50.3417,-119.6333
21,50.3417,-119.6333
22,50.3417,-119.6333
23,50.3417,-119.6333
24,50.3417,-119.6333
25,48.6,-78.067
26,48.6,-78.067
27,48.6,-78.067
28,48.6,-78.067
29,48.6,-78.067
30,48.6,-78.067
31,48.6,-78.067
32,48.6,-78.067
33,48.6,-78.067
34,48.6,-78.067
35,48.6,-78.067
36,48.6,-78.067
37,48.6,-78.067
38,48.6,-78.067
39,48.6,-78.067
40,48.6,-78.067
41,48.6,-78.067
42,48.6,-78.067
43,48.6,-78.067
44,48.6,-78.067
45,48.6,-78.067
46,48.6,-78.067
47,48.6,-78.067
48,48.6,-78.067
49,19.5,-155.25
50,19.5,-155.25
51,19.5,-155.25
52,19.5,-155.25
53,19.5,-155.25
54,19.5,-155.25
55,19.5,-155.25
56,19.5,-155.25
57,19.5,-155.25
58,19.5,-155.25
59,19.5,-155.25
60,19.5,-155.25
61,19.5,-155.25
62,19.5,-155.25
63,19.5,-155.25
64,19.5,-155.25
65,19.5,-155.25
66,19.5,-155.25
67,19.5,-155.25
68,19.5,-155.25
69,19.5,-155.25
70,19.5,-155.25
71,19.5,-155.25
72,19.5,-155.25
73,19.5,-155.25
74,19.5,-155.25
75,19.5,-155.25
76,19.5,-155.25
77,19.5,-155.25
78,19.5,-155.25
79,19.5,-155.25
80,19.5,-155.25
81,19.5,-155.25
82,19.5,-155.25
83,19.5,-155.25
84,19.5,-155.25
85,19.5,-155.25
86,19.5,-155.25
87,19.5,-155.25
88,19.5,-155.25
89,19.5,-155.25
90,19.5,-155.25
91,19.5,-155.25
92,19.5,-155.25
93,19.5,-155.25
94,19.5,-155.25
95,19.5,-155.25
96,19.5,-155.25
97,19.5,-155.25
98,19.5,-155.25
99,-19.2667,-41.7833
100,-19.2667,-41.7833
101,-19.2667,-41.7833
102,-19.2667,-41.7833
103,-23.1833,-48.4167
104,-23.1833,-48.4167
105,-23.1833,-48.4167
106,-23.1833,-48.4167
107,-23.0333,-48.6167
108,-23.0333,-48.6167
109,-23.0333,-48.6167
110,-23.0333,-48.6167
111,-23.0333,-48.6167
112,-23.0333,-48.6167
113,-23.0333,-48.6167
114,-23.0333,-48.6167
115,-4.6833,12.0167
116,-4.6833,12.0167
117,-4.6833,12.0167
118,-4.6833,12.0167
119,26.433,117.817
120,26.433,117.817
121,26.433,117.817
122,26.433,117.817
123,26.433,117.817
124,26.433,117.817
125,26.917,119.583
126,26.917,119.583
127,26.917,119.583
128,26.917,119.583
129,26.345,117.604
130,25.392,118.101
131,25.392,118.101
132,25.392,118.101
133,25.1186,118.1332
134,25.1186,118.1332
135,25.1186,118.1332
136,25.1186,118.1332
137,27.387,117.592
138,27.387,117.592
139,27.387,117.592
140,26.977,116.882
141,24.9055,117.4925
142,26.158,119.231
143,26.158,119.231
144,25.845,117.578
145,25.845,117.578
146,25.845,117.578
147,25.845,117.578
148,25.845,117.578
149,25.845,117.578
150,25.2887,117.6936
151,25.2887,117.6936
152,26.8,120.092
153,26.8,120.092
154,26.8,120.092
155,26.8,120.092
156,26.8,120.092
157,26.8,120.092
158,26.654,118.161
159,26.654,118.161
160,26.654,118.161
161,25.85,118.1833
162,25.85,118.1833
163,25.85,118.1833
164,25.85,118.1833
165,25.85,118.1833
166,25.85,118.1833
167,25.822,117.768
168,25.822,117.768
169,25.3,118
170,25.2288,117.5379
171,25.2288,117.5379
172,48.6,-78.067
173,48.6,-78.067
174,25.55,117.05
175,25.55,117.05
176,25.55,117.05
177,25.55,117.05
178,25.55,117.05
179,25.55,117.05
180,25.55,117.05
181,25.55,117.05
182,25.55,117.05
183,25.55,117.05
184,-23.0333,-48.6333
185,-23.0333,-48.6333
186,-4.7333,12.0167
187,-4.7333,12.0167
188,26.1,116.96
189,26.1,116.96
190,26.1,116.96
191,26.1,116.96
192,26.1,116.96
193,26.1,116.96
194,27,118.5
195,27,118.5
196,27,118.5
197,27,118.5
198,26.44,118.41
199,26.44,118.41
200,26.44,118.41
201,26.44,118.41
202,26.44,118.41
203,26.44,118.41
204,-37.6,149.163
205,-37.6,149.163
206,-37.6,149.163
207,-37.6,149.163
208,-37.6,149.163
209,-37.6,149.163
210,-37.6,149.163
211,-37.6,149.163
212,-37.6,149.163
213,-37.6,149.163
