Lat,Lon
-38.51,146.75
-37.6,149.163
-37.033,149.883
-35.25,149.167
-35.25,149.1667
-35.2,-71.1
-34.833,150.25
-31.245,-54.082
-29.88,153.072
-23.1833,-48.4167
-23.0333,-48.6167
-23.0333,-48.6333
-23.033,-48.633
-23.03,-48.63
-22.76,-43.67
-21.5833,-47.5167
-19.82,-40.273
-19.2667,-41.7833
-18.086,-39.551
-17,145
-15.849,-47.903
-8.0879,157.1463
-7.876,157.1297
-4.7333,12.0167
-4.733,12.017
-4.6833,12.0167
-4.4667,39.4833
-2.6,29.733
-1.9492,103.251
5.089,117.6422
6.633,-1.283
7.583,-2.5
9.2167,-79.7833
9.325,79.6333
9.325,-79.6333
10.217,76.217
10.433,-86.9833
10.4333,-86.9833
18.45,-66.167
19.5,-155.25
20.35,110.017
20.4122,-89.7536
20.6987,110.0343
20.8772,109.8316
21.3333,-158.3333
21.4581,105.1447
21.7266,-105.1131
21.9631,106.66
22.017,107.167
22.0494,106.8689
22.063,106.843
22.139,106.822
22.1667,106.8333
22.167,106.833
22.5167,114.0833
22.6325,108.3131
22.733,112.167
22.883,114.483
23.0333,108.5083
23.1333,113.0333
23.16,107.79
23.5,112.1667
23.583,117.033
23.609,117.409
23.667,117.3
23.7,111.3833
24.4167,117.6167
24.5,117.3
24.683,118.494
24.6833,117.05
24.708,117.3
24.742,117.475
24.775,107.7333333
24.793,117.626
24.819,116.409
24.825,118.058
24.83,117.58
24.8333,118.2667
24.873,118.646
24.9,118.01
24.9055,117.4925
24.914,117.503
24.9236,117.8172
24.9284,117.4941
24.933,118
24.9333,117.9833
24.962,117.83
24.9951,117.9368
25.002,118.107
25.026,116.996
25.033,116.187
25.049,118.042
25.076,118.101
25.082,118.226
25.09,116.09
25.1167,116.5
25.1186,118.1332
25.1333,117.9333
25.1833,115.9333
25.2,118.46
25.2288,117.5379
25.26,117.62
25.283,118.05
25.2887,117.6936
25.29,117.69
25.3,118
25.3,118.35
25.323,118.32
25.392,118.101
25.433,118.283
25.473,119.772
25.4833,118.3833
25.5,119.1
25.5106,118.2231
25.5167,117.9333
25.517,119.783
25.518,117.947
25.55,117.05
25.5533,119.9067
25.568,118.651
25.57,118.65
25.58,119.8
25.6,119.142
25.6,118.617
25.6667,118.5667
25.667,101.85
25.6686,101.8586
25.67,116.42
25.683,119.5
25.6833,119.5
25.6981,118.1111
25.717,118.567
25.8,117.55
25.806,110.869
25.8117,117.1871
25.816,117.588
25.816,118.339
25.822,117.768
25.839,117.578
25.845,117.578
25.848,117.578
25.85,118.1833
25.85,117.58
26,118
26,117.816
26.073,116.594
26.1,116.96
26.1,118.2
26.127,105.01
26.141,119.106
26.15,117.067
26.158,119.231
26.16,117.54
26.194,116.681
26.2,117.2
26.208,117.525
26.24,116.63
26.254,116.619
26.2643,118.9854
26.271,116.588
26.3,115.3
26.3,116.7
26.34375,119.559
26.345,117.604
26.37,117.99
26.392,117.183
26.42,117.3
26.433,117.817
26.44,118.41
26.45,117.7
26.45,118.0833
26.488,117.626
26.5167,116.2667
26.546,117.922
26.558,118
26.6,118
26.609,116.79
26.627,118.167
26.654,118.161
26.7667,116.7833
26.792,117.875
26.8,117.8833
26.8,120.092
26.8,116.784
26.8,117.883
26.815,117.125
26.88,118.31
26.917,119.583
26.977,116.882
27,118.5
27,117.87
27.05,118.15
27.06,115.06
27.063,118.369
27.137,117.309
27.185,118.383
27.2,119.6
27.25,110.417
27.387,117.592
27.42,117.67
27.4721,117.1914
27.5667,117.7667
27.583,117.35
27.642,117.333
27.702,118.372
27.85,117.533
28.433,118.967
28.9167,113.05
29.21666667,107.3583333
29.2167,107.3583
29.4972,117.8322
29.6083,103.6083
29.6167,119.0167
29.6333,106.6833
30.733,76.883
31.67,116.48
34.243,106.415
34.3333,106
34.8167,108.1333
36.1,118.11
36.35,8.45
36.483,51.983
36.4833,51.9833
37.2239,-80.4224
37.5917,111.375
37.877,118.587
38.25,106.25
40.4667,-3.3667
41.217,124.85
41.4,-7.1
43.7261,-121.6169
43.8116,-121.6734
44.7333,-0.7667
45.033,-123.967
45.3833,127.5333
45.4038,-121.8243
47.217,-123.867
47.8071,1.9767
48.0167,7.0167
48.0194,7.8269
48.6,-78.067
48.7386,6.3139
50.3417,-119.6333
50.7833,10.2167
51.6,-3.75
51.6167,-3.6167
53.2333,-4.0167
53.5,-112
54.25,-0.5
54.3167,-0.5833
57.1167,-4.75
57.5667,-3.0833
60.5,16.9
61.7,21.9667
64.05,20.3667
