TEM,PRE
1.9,918
1.9,947
2.7,466
2.8,723
3,572
4.6,900
4.8,815
5,596
5.3,708
5.6,951
6.1,573
6.3,805
6.7,1820
7.9,2300
8.7,200
8.7,488
8.9,820
8.9,823
9.1,875
9.2,810
9.2,1300
9.2,1930
9.5,630
9.7,2902
9.8,1170
10.3,550
10.8,600
10.9,600
11.1,2500
11.5,1034
11.6,620
11.8,832
11.9,1017
11.9,1140
12.3,692
12.5,690
12.7,753
13,685
13,1092
13,2055
13.1,625
13.5,1262
14,425
14,1048
14,1800
14.2,1009
14.2,1010
14.3,751
14.3,810
14.6,1991
14.6,2210
15,1050
15,1727
15.3,803
15.3,1491
15.8,1250
16.5,1750
16.5,1800
16.5,1900
16.5,2118
16.8,1510
16.8,1950
17,650
17,1430
17,1600
17,1800
17,1900
17.2,1354
17.2,1838
17.2,2389
17.3,1531
17.3,1737
17.4,1589
17.5,1350
17.5,1364
17.5,1550
17.5,1650
17.5,1750
17.6,2025
17.7,1479
17.7,1623
17.7,1786
17.9,1634
17.9,1753
18,1100
18,1350
18,1630
18,1650
18,1700
18,1744
18,1900
18.2,1457
18.2,1542
18.4,1618
18.4,1800
18.4,1675
18.5,1516
18.5,1600
18.5,1853
18.5,1880
18.6,1674
18.7,1666
18.7,1670
18.8,1166
18.8,1560
18.8,1663
18.8,1666
18.9,1580
18.9,1599
19,1370
19,1390
19,1450
19,1700
19,1800
19,1900
19.1,1600
19.1,1693
19.1,1760
19.1,1800
19.1,1840
19.2,1730
19.2,1732
19.2,1780
19.2,1800
19.2,1974
19.3,1664
19.4,1721
19.4,1726
19.4,1750
19.4,1752
19.4,1800
19.5,1172
19.5,1411
19.5,1635
19.5,1800
19.6,1400
19.6,1665
19.6,1760
19.6,1820
19.6,1839
19.6,1850
19.7,1494
19.7,1700
19.7,1781
19.8,1700
19.8,1900
19.9,1167
20,1095
20,1475
20,1485
20,1604
20,1800
20,1900
20.1,1535
20.1,1550
20.1,1564
20.1,1700
20.1,1800
20.2,2237
20.3,1300
20.3,1400
20.3,1509
20.3,1800
20.3,1845
20.4,1800
20.5,1400
20.6,803
20.6,1870
20.7,945
20.7,1272
20.7,1360
20.8,945
20.8,1632
20.8,1736
20.9,2219
21,1400
21,1460
21,1500
21,1650
21,1800
21,4000
21.1,1350
21.1,1640
21.1,1700
21.1,1963
21.3,1280
21.3,1707
21.3,1848
21.4,1420
21.5,1400
21.5,1513
21.5,1600
21.6,634
21.6,1300
21.8,1759
21.9,631
21.9,1636
22,1310
22,1500
22,1793
22,1800
22.8,1413
23,2119
23.1,745
23.3,1420
23.4,1412
23.5,1880
23.6,2000
23.9,1531
24,1370
24,1543
24,4000
24.4,1240
24.4,1529
24.6,1023
25,1637
25,4335
25.1,2350
25.7,1130
25.7,1430
25.8,2643
25.9,954
26,1700
26,4000
26.3,1475
26.3,1600
26.4,2700
26.6,1300
26.7,2235
26.8,2670
27.4,2200
27.5,2350
28,3510
28,3990
28.1,1200
